u,techniques,items,n_items,ratings,n_ratings
37,"[253, 6, 2, 104, 167, 0, 1, 25, 1, 213, 16, 9, 6, 1, 5, 0, 122, 0, 0, 18, 82, 18, 6, 31, 11, 0, 24, 17, 121, 20, 0, 1, 0, 201, 3, 10, 49, 35, 81, 1, 1, 14, 114, 140, 5, 1, 45, 11, 0, 22, 1, 8, 1, 48, 15, 62, 8, 56]","[139387, 90760, 107670, 175726, 101750, 49394, 53183, 58121, 173867, 669, 65514, 4164, 30713, 50265, 51193, 169224, 74013, 33742, 2671, 143506, 32322, 40278, 97306, 164095, 110611, 159747, 59663, 151536, 124238, 32397, 95158, 26369, 13478, 66315, 147545, 88632, 11924, 28195, 119366, 94747, 99787, 110890, 10394, 28061, 53325, 27749, 169100, 168126, 73956, 157864, 113936, 119359, 113731, 114024, 14529, 117645, 22887, 83280, 91403, 77787, 176716, 5752, 142675, 125310, 121981, 68454, 130387, 149336, 31706, 86728, 133208, 95506, 92425, 157978, 90252, 116924, 31552, 131583, 7938, 130475, 161570, 116154, 92216, 141290, 66238, 52505, 105753, 120496, 116021, 12744, 127507, 128111, 96335, 135329, 37605, 171511, 134665, 154107, 74847, 104914, 58580, 109666, 58056, 127437, 32813, 4836, 105495, 133588, 140965, 6316, 87894, 87989, 160952, 80438, 72202, 127723, 168511, 52350, 145414, 30813, 97757, 115187, 166208, 30899, 38063, 15579, 14122, 128834, 157244, 15938, 116416, 36366, 4867, 138418, 72285, 87988, 69888, 17819, 110612, 130108, 138084, 69020, 60801, 23654, 53566, 146878, 26313, 82870, 34506, 7164, 130758, 164128, 2674, 138777, 59107, 64481, 144161, 136595, 49728, 112526, 16869, 181, 122852, 147643, 46828, 109892, 39496, 54480, 153957, 92383, 92594, 548, 138379, 32541, 18979, 109735, 6773, 47180, 165202, 99081, 105698, 80444, 112178, 72893, 169406, 57049, 98602, 81248, 33091, 52070, 145224, 111110, 51766, 150179, 125320, 132198, 45069, 54491, 60486, 55264, 24703, 21524, 57927, 171687, 6325, 81021, 1709, 16347, 121200, 176965, 106710, 158195, 14492, 16894, 88465, 18434, 120180, 90038, 58321, 44967, 135703, 165625, 142951, 151956, 104612, 59338, 48637, 45897, 166452, 76882, 155038, 65112, 65777, 121384, 117647, 172446, 21729, 177760, 79336, 83583, 55313, 105101, 55931, 151877, 146383, 42177, 137591, 135160, 5954, 68437, 145060, 171522, 57387, 55497, 44684, 120723, 85615, 119579, 22981, 33970, 90144, 14127, 68311, 97663, 75670, 26151, 128307, 171553, 78296, 151474, 113961, 53542, 138627, 12030, 173123, 99622, 88896, 24736, 160613, 177786, 53924, 12159, 81617, 38203, 142636, 75386, 151386, 121586, 108327, 73760, 35228, 23803, 161846, 150590, 170116, 132051, 99450, 46150, 56558, 177890, 117786, 158766, 137779, 50958, 47891, 16566, 143317, 16611, 46149, 165372, 117990, 147423, 75622, 156822, 36611, 76234, 168463, 22136, 83036, 106555, 119544, 166697, 103298, 100340, 20819, 96271, 114039, 14320, 161107, 147642, 138797, 43562, 136784, 30043, 145298, 118206, 128675, 30838, 21371, 66548, 74685, 29905, 97738, 80925, 140865, 7256, 108199, 170768, 33426, 57401, 88629, 152371, 159309, 120741, 142026, 164450, 8486, 151817, 21581, 114046, 41540, 127553, 129214, 160888, 139035, 31067, 137958, 38016, 130799, 50844, 174087, 46735, 48390, 55227, 113747, 123721, 145864, 67485, 84794, 59189, 155851, 54661, 156978, 124698, 172810, 5350, 97935, 4868, 59322, 81297, 126517, 126887, 76639, 136364, 74417, 111248, 109305, 15394, 163933, 141030, 49765, 115487, 51069, 32050, 113703, 175047, 46243, 106621, 55628, 105664, 68560, 56425, 130146, 120674, 164555, 147765, 117853, 54130, 77997, 78434, 131812, 56762, 127762, 139072, 112176, 170036, 2283, 36038, 44621, 144553, 74225, 15035, 97691, 26682, 134051, 86446, 20437, 26164, 85337, 86788, 164199, 38923, 153553, 64250, 107662, 96316, 72595, 146791, 150948, 159193, 149093, 20575, 36715, 1088, 19387, 156691, 51904, 38996, 96870, 154034, 85677, 110845, 174795, 16552, 116457, 65749, 104177, 72463, 154499, 75397, 94416, 126593, 169978, 47524, 4482, 169565, 34884, 164359, 90242, 72325, 6124, 95534, 137211, 108792, 62289, 155837, 71578, 18552, 98004, 117429, 19722, 121994, 43179, 174918, 103337, 7197, 30298, 131920, 125447, 113353, 15655, 2568, 174586, 40289, 161617, 174957, 3057, 161041, 104745, 102513, 93051, 28725, 89840, 9677, 89863, 97931, 77067, 149495, 166423, 56440, 174036, 129942, 152600, 61782, 77405, 171741, 120687, 83015, 166201, 29528, 99782, 55411, 45606, 107671, 153294, 83059, 8499, 164975, 103202, 41373, 118267, 55545, 166441, 52261, 54421, 51594, 22045, 144458, 171697, 54097, 122299, 44577, 38511, 57174, 56894, 112057, 7415, 15052, 105542, 46194, 155005, 168561, 138680, 35658, 54427, 35402, 147486, 114752, 63559, 81251, 2537, 1652, 136562, 110785, 32438, 170086, 97450, 79108, 14015, 34130, 37204, 120865, 127506, 24300, 14138, 155473, 73843, 119592, 85420, 154054, 117235, 45824, 60909, 84265, 42988, 67895, 19812, 61938, 176715, 148855, 2377, 154914, 38628, 156845, 107041, 105478, 71738, 118461, 2280, 164348, 39867, 41059, 149428, 147374, 136118, 153742, 20013, 25099, 91259, 69256, 146750, 6061, 108032, 4954, 45237, 19942, 121600, 12, 50726, 55031, 108561, 161407, 141503, 16439, 160305, 145756, 28552, 30000, 58035, 137987, 165421, 103526, 158076, 59115, 89925, 25776, 155883, 47039, 25109, 94807, 15391, 42243, 13020, 175284, 155789, 134610, 145152, 79590, 55177, 55557, 101266, 40946, 32452, 67088, 106142, 101538, 17768, 87904, 31148, 51267, 133945, 172868, 124581, 78551, 78333, 1334, 170924, 3995, 133219, 124501]",680,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",680
5194,"[3, 0, 0, 2, 3, 0, 0, 1, 1, 4, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 1, 1, 2]","[140865, 9489, 12418, 81126, 41078, 108522, 147654, 27478, 39715, 2404]",10,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0]",10
16440,"[5, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[73681, 157740, 50909, 113211, 140635, 52200]",6,"[5.0, 5.0, 0.0, 5.0, 5.0, 5.0]",6
16615,"[2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23609, 88487, 81837, 118834, 19086]",5,"[5.0, 5.0, 5.0, 5.0, 5.0]",5
11365,"[4, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[135222, 154002, 39989, 162691, 100070, 129768, 51196, 146026]",8,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",8
4218,"[14, 0, 0, 2, 6, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 5, 0, 0, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 2]","[113937, 102331, 61519, 33635, 27665, 66210, 159661, 26895, 150621, 42272, 133544, 139776, 9272, 163309, 57192, 150229, 1783, 23756, 127506, 110178, 36166, 168381]",22,"[5.0, 5.0, 5.0, 1.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.0, 0.0]",22
10701,"[4, 0, 0, 1, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]","[169418, 169524, 62686, 7801, 114795, 131785, 115241]",7,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0]",7
10176,"[1, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 3]","[76104, 18465, 66498, 46117, 91978, 99835]",6,"[4.0, 4.0, 3.0, 5.0, 2.0, 4.0]",6
11467,"[4, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[11656, 88714, 165421, 8807, 162937]",5,"[5.0, 4.0, 5.0, 4.0, 5.0]",5
21933,"[2, 0, 0, 2, 1, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43087, 72253, 107197, 73956, 72887, 78028]",6,"[4.0, 5.0, 4.0, 5.0, 5.0, 5.0]",6
12357,"[15, 0, 0, 9, 9, 0, 0, 1, 0, 12, 0, 1, 0, 0, 0, 0, 9, 0, 0, 3, 2, 1, 0, 3, 1, 0, 0, 2, 6, 0, 0, 0, 0, 11, 0, 0, 4, 4, 6, 0, 0, 2, 8, 7, 0, 1, 3, 2, 0, 1, 0, 1, 0, 4, 1, 4, 1, 5]","[43657, 104036, 64311, 113345, 112721, 27523, 12804, 74727, 164596, 90812, 52582, 66746, 145695, 10118, 173548, 98047, 162545, 96720, 124533, 115957, 96378, 154916, 49026, 51508, 54875, 147374, 148855, 110718, 128675, 113793, 79996, 69114, 58998]",33,"[4.0, 5.0, 4.0, 5.0, 0.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.0, 5.0, 5.0, 3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 4.0]",33
1717,"[2, 1, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[19634, 669, 72253, 33305, 170732]",5,"[5.0, 5.0, 5.0, 5.0, 5.0]",5
20214,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[67106, 155937, 93194, 95663, 150292]",5,"[5.0, 5.0, 5.0, 4.0, 5.0]",5
20038,"[2, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[88493, 126627, 120777, 32274, 53843, 144826, 57207]",7,"[4.0, 3.0, 2.0, 4.0, 4.0, 1.0, 3.0]",7
